排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
17,克里斯-保罗,雷霆,21.30,7.90-16.00,49.1%,2.30-6.10,37.2%,3.30-3.70,88.5%,7,37.30
18,戈兰-德拉季奇,热火,21.10,7.90-17.20,45.8%,2.70-7.00,38.1%,2.70-3.60,75%,9,34.70
19,杰伦-布朗,凯尔特人,21.00,7.50-17.20,43.4%,2.40-7.80,30.2%,3.70-4.20,89.1%,11,38.70
20,克里斯-米德尔顿,雄鹿,20.30,7.10-18.00,39.4%,2.30-6.50,35.4%,3.80-4.60,82.6%,10,35.50
20,卡里斯-勒韦尔,篮网,20.30,6.80-18.20,37%,2.20-5.20,42.9%,4.50-6.20,72%,4,35.00
22,保罗-乔治,快船,20.00,6.80-16.70,40.8%,2.80-8.30,34.1%,3.50-3.90,90.7%,11,36.50
22,TJ-沃伦,步行者,20.00,8.00-17.00,47.1%,1.80-4.80,36.8%,2.20-2.20,100%,4,39.00
24,迈克-康利,爵士,19.80,6.20-12.80,48.4%,3.60-6.80,52.9%,3.80-4.40,86.4%,5,33.00
25,肯巴-沃克,凯尔特人,19.60,6.60-14.70,45.1%,1.90-6.70,28.4%,4.40-5.10,87.5%,11,37.50
25,弗雷德-范弗利特,猛龙,19.60,6.90-17.30,40%,3.90-10.00,39.1%,1.90-2.30,84%,11,39.10
27,埃里克-戈登,火箭,18.50,6.40-15.40,41.4%,2.50-7.80,32.6%,3.20-3.60,87.5%,11,34.60
28,维克托-奥拉迪波,步行者,17.80,5.50-14.00,39.3%,3.00-8.20,36.4%,3.80-4.00,93.8%,4,30.80
28,小蒂姆-哈达威,独行侠,17.80,6.70-15.80,42.1%,3.20-9.00,35.2%,1.30-1.80,72.7%,6,34.00
30,凯尔-洛瑞,猛龙,17.70,5.60-13.40,41.9%,2.10-6.60,31.9%,4.40-5.40,80%,11,37.50
31,丹尼斯-施罗德,雷霆,17.30,6.30-15.60,40.4%,1.90-6.40,28.9%,2.90-3.60,80%,7,32.40
